vid_dir,text_dir,vid_output_dir
FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00076/00109.mp4,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00076/00109_text.txt,FakeAVCeleb_v1.2/RealVideo-FakeAudio/African/men/id00076/00109_fake_new.mp4
FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00166/00010.mp4,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00166/00010_text.txt,FakeAVCeleb_v1.2/RealVideo-FakeAudio/African/men/id00166/00010_fake_new.mp4
FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00173/00118.mp4,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00173/00118_text.txt,FakeAVCeleb_v1.2/RealVideo-FakeAudio/African/men/id00173/00118_fake_new.mp4
FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00366/00118.mp4,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00366/00118_text.txt,FakeAVCeleb_v1.2/RealVideo-FakeAudio/African/men/id00366/00118_fake_new.mp4
FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00391/00052.mp4,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00391/00052_text.txt,FakeAVCeleb_v1.2/RealVideo-FakeAudio/African/men/id00391/00052_fake_new.mp4
FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00475/00099.mp4,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00475/00099_text.txt,FakeAVCeleb_v1.2/RealVideo-FakeAudio/African/men/id00475/00099_fake_new.mp4
FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00476/00109.mp4,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00476/00109_text.txt,FakeAVCeleb_v1.2/RealVideo-FakeAudio/African/men/id00476/00109_fake_new.mp4
FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00478/00206.mp4,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00478/00206_text.txt,FakeAVCeleb_v1.2/RealVideo-FakeAudio/African/men/id00478/00206_fake_new.mp4
FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00518/00031.mp4,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00518/00031_text.txt,FakeAVCeleb_v1.2/RealVideo-FakeAudio/African/men/id00518/00031_fake_new.mp4
FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00701/00092.mp4,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00701/00092_text.txt,FakeAVCeleb_v1.2/RealVideo-FakeAudio/African/men/id00701/00092_fake_new.mp4
FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00761/00072.mp4,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00761/00072_text.txt,FakeAVCeleb_v1.2/RealVideo-FakeAudio/African/men/id00761/00072_fake_new.mp4
FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00781/00092.mp4,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00781/00092_text.txt,FakeAVCeleb_v1.2/RealVideo-FakeAudio/African/men/id00781/00092_fake_new.mp4
FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00830/00143.mp4,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00830/00143_text.txt,FakeAVCeleb_v1.2/RealVideo-FakeAudio/African/men/id00830/00143_fake_new.mp4
FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00944/00135.mp4,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00944/00135_text.txt,FakeAVCeleb_v1.2/RealVideo-FakeAudio/African/men/id00944/00135_fake_new.mp4
FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00987/00160.mp4,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00987/00160_text.txt,FakeAVCeleb_v1.2/RealVideo-FakeAudio/African/men/id00987/00160_fake_new.mp4
